,Location ID,City,Area,Name,Address,Latitude,Longitude,Rating,Total Reviews,Place ID,Google Maps URL,full_location
303,LOC_2,Chennai,Rajajipuram,Naturals Salon,"Creation square, 1 floor, opposite National PG college, Hazratganj, Lucknow, Uttar Pradesh 226001, India",26.8572028,80.9426683,4.2,293,ChIJpaxzSAr9mzkRMfpxJWTl7AY,https://www.google.com/maps/place/?q=place_id:ChIJpaxzSAr9mzkRMfpxJWTl7AY,Chennai RajajipuramNaturals Salon
309,LOC_1,Chennai,"Royapuram, Mannarsamy Koil St",Naturals Unisex Hair And Style Salon,"No. 125, Mannarsamy Koil St, Mottai Thottam, Royapuram, Chennai, Tamil Nadu 600013, India",13.1095095,80.2915654,4.6,992,ChIJjUiDEWlvUjoR9bZBYnkO1O4,https://www.google.com/maps/place/?q=place_id:ChIJjUiDEWlvUjoR9bZBYnkO1O4,"Chennai Royapuram, Mannarsamy Koil StNaturals Unisex Hair And Style Salon"
310,LOC_1,Chennai,Saidapet,"Naturals Salon & Spa , Saidapet","Seshachalam Street, Periyapet, Saidapet, Chennai, Tamil Nadu 600015, India",13.0237429,80.22637610000001,4.8,2264,ChIJdZIG_wVnUjoRPMLG0KojMZ4,https://www.google.com/maps/place/?q=place_id:ChIJdZIG_wVnUjoRPMLG0KojMZ4,"Chennai SaidapetNaturals Salon & Spa , Saidapet"
312,LOC_2,Chennai,Saligramam,NATURALS SALON AND SPA,"first floor, A NO:13/51, Arunachalam Rd, opp. prasad lab, Mathiazhagan Nagar, Shanthi Nagar, Saligramam, Chennai, Tamil Nadu 600093, India",13.0554618,80.20397299999999,4.4,1086,ChIJj8dkSsdmUjoRbc_8MLvAjF8,https://www.google.com/maps/place/?q=place_id:ChIJj8dkSsdmUjoRbc_8MLvAjF8,Chennai SaligramamNATURALS SALON AND SPA
317,LOC_1,Chennai,Semmancheri,Naturals Salon,"1st Flr, Plot No 10, DLF Garden City Rd, Semmancheri, Balaji Nagar, Semmancheri, Thazhambur, Chennai, Tamil Nadu 600130, India",12.8730153,80.2071745,4.9,657,ChIJ7Q9oF65bUjoROux3YqvNt6c,https://www.google.com/maps/place/?q=place_id:ChIJ7Q9oF65bUjoROux3YqvNt6c,Chennai SemmancheriNaturals Salon
318,LOC_2,Chennai,Semmancheri,Naturals Salon,"No 2/62, New Pushpa Navin Complex, OMR Rd, above Shree Gupta Bhavan, Navalur, Chennai, Tamil Nadu 603103, India",12.8475503,80.226959,4.7,3489,ChIJp4gXqlZaUjoR0qOHmTRnuOg,https://www.google.com/maps/place/?q=place_id:ChIJp4gXqlZaUjoR0qOHmTRnuOg,Chennai SemmancheriNaturals Salon
319,LOC_3,Chennai,Semmancheri,Naturals Salon & Spa Siruseri,"Opposite Hiranandani Apts 149/8, Ambedkar street, Egatoor, Siruseri, Chennai, Tamil Nadu 603103, India",12.8333976,80.22861619999999,4.6,1803,ChIJlwqu3R9bUjoRFpJx3T3Bho8,https://www.google.com/maps/place/?q=place_id:ChIJlwqu3R9bUjoRFpJx3T3Bho8,Chennai SemmancheriNaturals Salon & Spa Siruseri
322,LOC_1,Chennai,Sholinganallur,Naturals Unisex Salon Sholinganallur,"2A, Elcot Ave, Sholinganallur, Chennai, Tamil Nadu 600119, India",12.8969427,80.2269788,4.4,2291,ChIJPeVfv4dbUjoRuuquO98y1PQ,https://www.google.com/maps/place/?q=place_id:ChIJPeVfv4dbUjoRuuquO98y1PQ,Chennai SholinganallurNaturals Unisex Salon Sholinganallur
323,LOC_2,Chennai,Sholinganallur,Naturals Unisex Salon ECR Link Road,"Plot No. C, Kothari Avenue, Kalaignar Karunanidhi Salai, KTK Town, Sholinganallur, Chennai, Tamil Nadu 600119, India",12.8994235,80.2356697,4.7,1196,ChIJCbLW5wxdUjoRSkTBDc9Qtsw,https://www.google.com/maps/place/?q=place_id:ChIJCbLW5wxdUjoRSkTBDc9Qtsw,Chennai SholinganallurNaturals Unisex Salon ECR Link Road
332,LOC_6,Chennai,Siruvallur High Road,Naturals Salon,"Shop No 120, Ground Floor, Near Reliance Fresh, Madras Thiruvallur High Rd, Villivakkam, Chennai, Tamil Nadu 600049, India",13.102398,80.2102846,4.7,1026,ChIJp2kx-T9kUjoRHALcSvusdOc,https://www.google.com/maps/place/?q=place_id:ChIJp2kx-T9kUjoRHALcSvusdOc,Chennai Siruvallur High RoadNaturals Salon
333,LOC_7,Chennai,Siruvallur High Road,Natural's Beauty Parlour,"No, 29, Paddy Field Rd, Chinnaiyan Colony, Perambur, Chennai, Tamil Nadu 600011, India",13.1095365,80.2492671,4.0,46,ChIJ042Rsb5lUjoRYA2PwelNi1I,https://www.google.com/maps/place/?q=place_id:ChIJ042Rsb5lUjoRYA2PwelNi1I,Chennai Siruvallur High RoadNatural's Beauty Parlour
335,LOC_1,Chennai,"South Red hills Road,Villivakkam",Naturals Salon,"No 83/30, Ground Floor South Redhills Road, Subway, near Villivakkam, Villivakkam, Tamil Nadu 600049, India",13.10835,80.2059646,4.7,1052,ChIJK33vY2lkUjoRMI15t2YLnJ4,https://www.google.com/maps/place/?q=place_id:ChIJK33vY2lkUjoRMI15t2YLnJ4,"Chennai South Red hills Road,VillivakkamNaturals Salon"
339,LOC_1,Chennai,Sowcarpet,Naturals salon (Exclusive Women's)- Sowcarpet,"yes bank, 377, second floor, Mint St, above to, Sowcarpet, Chennai, Tamil Nadu 600079, India",13.0935518,80.2794005,4.3,452,ChIJCTDNgldvUjoRQvi8h6Cjzl0,https://www.google.com/maps/place/?q=place_id:ChIJCTDNgldvUjoRQvi8h6Cjzl0,Chennai SowcarpetNaturals salon (Exclusive Women's)- Sowcarpet
341,LOC_1,Chennai,Sri Perubadur,Naturals Salon,"Car St, Nenmeli, Sriperumbudur, Tamil Nadu 602105, India",12.9694191,79.95106,4.6,1029,ChIJiwlGNQ3zUjoRa4UE6AWtJZI,https://www.google.com/maps/place/?q=place_id:ChIJiwlGNQ3zUjoRa4UE6AWtJZI,Chennai Sri PerubadurNaturals Salon
346,LOC_6,Chennai,Sri Perubadur,Natural Hair & Beauty Salon and Spa,"No:77 Bangalore main road,first floor, Madras, Sriperumbudur, Tamil Nadu 602105, India",12.9666595,79.94658419999999,4.7,17,ChIJEYrlgWLzUjoRUanj-CSAi0Y,https://www.google.com/maps/place/?q=place_id:ChIJEYrlgWLzUjoRUanj-CSAi0Y,Chennai Sri PerubadurNatural Hair & Beauty Salon and Spa
